"Id","MSSubClass","MSZoning.RL","MSZoning.RM","LotFrontage","LotArea","LotShape.IR1","LotShape.Reg","LandContour.Lvl","LotConfig.Corner","LotConfig.CulDSac","LotConfig.Inside","Neighborhood.CollgCr","Neighborhood.Edwards","Neighborhood.Gilbert","Neighborhood.NAmes","Neighborhood.NridgHt","Neighborhood.OldTown","Neighborhood.Sawyer","Neighborhood.Somerst","Condition1.Feedr","Condition1.Norm","BldgType.1Fam","BldgType.TwnhsE","HouseStyle.1.5Fin","HouseStyle.1Story","HouseStyle.2Story","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle.Gable","RoofStyle.Hip","Exterior1st.HdBoard","Exterior1st.MetalSd","Exterior1st.Plywood","Exterior1st.VinylSd","Exterior1st.Wd.Sdng","Exterior2nd.HdBoard","Exterior2nd.MetalSd","Exterior2nd.Plywood","Exterior2nd.VinylSd","Exterior2nd.Wd.Sdng","MasVnrType.BrkFace","MasVnrType.None","MasVnrType.Stone","MasVnrArea","ExterQual.Gd","ExterQual.TA","ExterCond.Gd","ExterCond.TA","Foundation.BrkTil","Foundation.CBlock","Foundation.PConc","BsmtQual.Ex","BsmtQual.Gd","BsmtQual.TA","BsmtCond.TA","BsmtExposure.Av","BsmtExposure.Gd","BsmtExposure.Mn","BsmtExposure.No","BsmtFinType1.ALQ","BsmtFinType1.BLQ","BsmtFinType1.GLQ","BsmtFinType1.LwQ","BsmtFinType1.Rec","BsmtFinType1.Unf","BsmtFinSF1","BsmtFinType2.Unf","BsmtUnfSF","TotalBsmtSF","HeatingQC.Ex","HeatingQC.Gd","HeatingQC.TA","CentralAir.N","CentralAir.Y","Electrical.FuseA","Electrical.SBrkr","X2ndFlrSF","GrLivArea","BsmtFullBath.0","BsmtFullBath.1","FullBath","HalfBath","BedroomAbvGr","KitchenQual.Ex","KitchenQual.Gd","KitchenQual.TA","TotRmsAbvGrd","Functional.Typ","Fireplaces","FireplaceQu.Gd","FireplaceQu.NONE","FireplaceQu.TA","GarageType.Attchd","GarageType.BuiltIn","GarageType.Detchd","GarageType.NONE","GarageFinish.Fin","GarageFinish.NONE","GarageFinish.RFn","GarageFinish.Unf","GarageCars","GarageQual.NONE","GarageQual.TA","GarageCond.NONE","GarageCond.TA","PavedDrive.N","PavedDrive.Y","WoodDeckSF","MoSold","YrSold","SaleType.New","SaleType.WD","SaleCondition.Abnorml","SaleCondition.Normal","SaleCondition.Partial"
1471,120,0,0,26,5858,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,7,5,1999,1999,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1051,0,354,1405,1,0,0,0,1,0,1,0,1337,0,1,2,0,2,0,1,0,5,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,203,6,2010,0,1,0,1,0
1472,160,0,1,21,1680,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,5,1971,1971,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,504,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,156,1,327,483,0,0,1,0,1,0,1,504,987,1,0,1,1,2,0,0,1,5,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,275,2,2010,0,0,0,1,0
1473,160,0,1,21,1680,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,5,1971,1971,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,492,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,300,1,225,525,0,0,1,0,1,0,1,567,1092,1,0,1,1,3,0,0,1,6,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,3,2010,0,1,0,1,0
1474,160,1,0,24,2280,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,6,1975,1975,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,514,1,341,855,0,0,1,0,1,0,1,601,1456,1,0,2,1,3,0,1,0,6,1,1,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,1,0,1,173,6,2010,0,1,0,1,0
1475,120,1,0,24,2280,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,6,1975,1975,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,836,836,1,0,0,0,1,0,1,0,836,1,0,1,0,2,0,0,1,4,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,6,2010,0,1,0,1,0
1476,60,1,0,102,12858,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,9,5,2009,2010,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,162,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1590,1590,1,0,0,0,1,0,1,707,2334,1,0,2,1,3,1,0,0,10,1,1,1,0,0,1,0,0,0,1,0,0,0,3,0,1,0,1,0,1,144,1,2010,1,0,0,0,1
1477,20,1,0,94,12883,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,8,5,2009,2010,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,256,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1544,1544,1,0,0,0,1,0,1,0,1544,1,0,2,0,3,0,1,0,7,1,0,0,1,0,1,0,0,0,0,0,1,0,3,0,1,0,1,0,1,0,6,2010,1,0,0,0,1
1478,20,1,0,90,11520,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,9,5,2005,2005,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,615,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,110,1,1588,1698,1,0,0,0,1,0,1,0,1698,1,0,2,0,3,1,0,0,7,1,1,1,0,0,1,0,0,0,1,0,0,0,3,0,1,0,1,0,1,192,6,2010,0,1,0,1,0
1479,20,1,0,79,14122,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,8,5,2005,2006,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,240,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,28,1,1794,1822,1,0,0,0,1,0,1,0,1822,1,0,2,0,3,1,0,0,8,1,1,1,0,0,1,0,0,0,0,0,1,0,3,0,1,0,1,0,1,0,2,2010,0,1,0,1,0
1480,20,1,0,110,14300,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,9,5,2003,2004,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1095,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1373,1,1473,2846,1,0,0,0,1,0,1,0,2696,0,1,2,1,3,1,0,0,10,1,2,1,0,0,1,0,0,0,1,0,0,0,3,0,1,0,1,0,1,220,6,2010,0,1,0,1,0
1481,60,1,0,105,13650,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,8,5,2002,2002,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,232,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,578,1,1093,1671,1,0,0,0,1,0,1,563,2250,0,1,2,1,3,0,1,0,7,1,1,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,1,0,1,238,6,2010,0,1,0,1,0
1482,120,1,0,41,7132,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,8,5,2006,2006,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,178,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,24,1,1346,1370,1,0,0,0,1,0,1,0,1370,1,0,2,0,2,0,1,0,6,1,1,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,120,4,2010,0,1,0,1,0
1483,20,1,0,100,18494,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,6,5,2005,2005,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1324,1324,1,0,0,0,1,0,1,0,1324,1,0,2,0,3,0,1,0,6,1,0,0,1,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,36,1,2010,0,1,0,1,0
1484,120,1,0,43,3203,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,7,5,2006,2006,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,14,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,16,1,1129,1145,1,0,0,0,1,0,1,0,1145,1,0,2,0,2,0,1,0,6,1,0,0,1,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,100,1,2010,0,1,0,1,0
1485,80,1,0,67,13300,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,7,5,2004,2004,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,326,1,58,384,1,0,0,0,1,0,1,630,1374,0,1,2,1,3,0,1,0,7,1,1,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,0,1,100,6,2010,0,1,0,1,0
1486,60,1,0,63,8577,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,7,5,2004,2004,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,847,847,1,0,0,0,1,0,1,886,1733,1,0,2,1,3,0,1,0,7,1,1,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,0,1,144,4,2010,0,1,0,1,0
1487,60,1,0,60,17433,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,8,5,1998,1998,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,114,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1629,1629,1,0,0,0,1,0,1,830,2475,1,0,2,1,4,0,1,0,7,1,1,0,0,1,1,0,0,0,1,0,0,0,3,0,1,0,1,0,1,23,1,2010,0,1,0,1,0
1488,20,1,0,73,8987,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,8,5,2005,2006,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,226,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1595,1595,1,0,0,0,1,0,1,0,1595,1,0,2,0,2,0,1,0,6,1,1,1,0,0,1,0,0,0,0,0,1,0,3,0,1,0,1,0,1,144,5,2010,0,1,0,1,0
1489,20,0,0,92,9215,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,7,5,2009,2010,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1218,1218,1,0,0,0,1,0,1,0,1218,1,0,2,0,2,0,1,0,4,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,4,2010,1,0,0,0,1
1490,20,0,0,84,10440,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,6,5,2005,2005,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1414,1,54,1468,1,0,0,0,1,0,1,0,1468,0,1,2,0,2,0,1,0,6,1,1,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,0,5,2010,0,1,0,1,0
1491,60,1,0,70,11920,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,7,5,2004,2004,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,122,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,831,831,1,0,0,0,1,0,1,828,1659,1,0,2,1,3,0,1,0,8,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,144,4,2010,0,1,0,1,0
1492,30,0,0,70,9800,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5,5,1920,1950,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,816,816,0,0,1,1,0,1,0,0,1012,1,0,1,0,2,0,0,1,5,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,121,4,2010,0,1,0,1,0
1493,20,1,0,39,15410,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,6,6,1974,2002,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,250,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,126,0,223,1208,1,0,0,0,1,0,1,0,1494,0,1,2,0,3,0,0,1,7,1,2,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,296,4,2010,0,1,1,0,0
1494,60,1,0,85,13143,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,8,5,1993,1993,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,504,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,250,0,0,1231,1,0,0,0,1,0,1,1098,2349,0,1,2,1,4,0,1,0,9,1,1,0,0,1,1,0,0,0,0,0,1,0,3,0,1,0,1,0,1,32,6,2010,0,1,0,1,0
1495,60,1,0,88,11134,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,8,5,1992,1993,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,180,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1129,1,261,1390,1,0,0,0,1,0,1,823,2225,0,1,2,1,4,0,1,0,7,1,1,0,0,1,1,0,0,0,0,0,1,0,3,0,1,0,1,0,1,198,6,2010,0,1,0,1,0
1496,120,0,0,25,4835,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,7,5,2004,2005,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1298,1,190,1488,1,0,0,0,1,0,1,0,1488,0,1,2,0,2,0,1,0,6,1,1,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,168,3,2010,0,1,0,1,0
1497,160,0,0,39,3515,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,7,5,2004,2004,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,840,840,1,0,0,0,1,0,1,840,1680,1,0,2,1,2,0,1,0,3,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,1,2010,0,1,0,1,0
1498,160,0,0,30,3215,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,7,5,2004,2004,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,120,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,280,1,320,600,1,0,0,0,1,0,1,600,1200,1,0,2,1,2,0,1,0,4,1,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,1,0,4,2010,0,0,0,1,0
1499,160,0,0,24,2544,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,7,5,2004,2005,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,368,0,190,600,1,0,0,0,1,0,1,600,1200,0,1,2,1,2,0,1,0,4,1,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,1,0,2,2010,0,1,0,1,0
1500,160,0,0,24,2544,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,5,2005,2005,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,216,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,376,1,224,600,1,0,0,0,1,0,1,636,1236,0,1,2,1,2,0,1,0,4,1,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,1,0,5,2010,0,1,0,1,0
1501,160,0,0,1480.14163008428,2980,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,6,5,2000,2000,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1159,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,466,1,290,756,1,0,0,0,1,0,1,756,1512,0,1,2,1,2,0,1,0,5,1,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,1,0,1,0,5,2010,0,1,0,1,0
1502,160,0,0,1196.24525075071,2403,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,7,5,2003,2003,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,244,1,286,530,1,0,0,0,1,0,1,550,1080,1,0,2,1,2,0,1,0,4,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,6,2010,0,1,0,1,0
1503,20,0,0,57,12853,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,8,5,2010,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1032,1,610,1642,1,0,0,0,1,0,1,0,1418,0,1,1,1,1,0,1,0,6,1,1,1,0,0,1,0,0,0,0,0,1,0,3,0,1,0,1,0,1,160,4,2010,1,0,0,0,1
1504,60,0,0,68,7379,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,8,5,2000,2000,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,484,1,491,975,1,0,0,0,1,0,1,873,1848,0,1,2,1,3,0,1,0,7,1,1,0,0,1,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,280,4,2010,0,1,0,1,0
1505,20,0,0,80,8000,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,7,5,2002,2002,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,833,1,659,1492,1,0,0,0,1,0,1,0,1492,0,1,2,0,3,0,1,0,6,1,1,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,277,4,2010,0,1,0,1,0
1506,20,1,0,4447.60694118288,10456,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,6,6,1967,1967,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,120,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,506,1,1323,1829,0,1,0,0,1,0,1,0,1829,0,1,2,0,4,0,0,1,8,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,5,2010,0,1,0,1,0
1507,60,1,0,80,10791,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6,5,1993,1993,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1137,1,143,1280,1,0,0,0,1,0,1,1215,2495,0,1,2,1,4,0,1,0,9,1,1,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,1,0,1,224,3,2010,0,1,0,1,0
