"Id","MSSubClass","MSZoning.RL","MSZoning.RM","LotFrontage","LotArea","LotShape.IR1","LotShape.Reg","LandContour.Lvl","LotConfig.Corner","LotConfig.CulDSac","LotConfig.Inside","Neighborhood.CollgCr","Neighborhood.Edwards","Neighborhood.Gilbert","Neighborhood.NAmes","Neighborhood.NridgHt","Neighborhood.OldTown","Neighborhood.Sawyer","Neighborhood.Somerst","Condition1.Feedr","Condition1.Norm","BldgType.1Fam","BldgType.TwnhsE","HouseStyle.1.5Fin","HouseStyle.1Story","HouseStyle.2Story","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle.Gable","RoofStyle.Hip","Exterior1st.HdBoard","Exterior1st.MetalSd","Exterior1st.Plywood","Exterior1st.VinylSd","Exterior1st.Wd.Sdng","Exterior2nd.HdBoard","Exterior2nd.MetalSd","Exterior2nd.Plywood","Exterior2nd.VinylSd","Exterior2nd.Wd.Sdng","MasVnrType.BrkFace","MasVnrType.None","MasVnrType.Stone","MasVnrArea","ExterQual.Gd","ExterQual.TA","ExterCond.Gd","ExterCond.TA","Foundation.BrkTil","Foundation.CBlock","Foundation.PConc","BsmtQual.Ex","BsmtQual.Gd","BsmtQual.TA","BsmtCond.TA","BsmtExposure.Av","BsmtExposure.Gd","BsmtExposure.Mn","BsmtExposure.No","BsmtFinType1.ALQ","BsmtFinType1.BLQ","BsmtFinType1.GLQ","BsmtFinType1.LwQ","BsmtFinType1.Rec","BsmtFinType1.Unf","BsmtFinSF1","BsmtFinType2.Unf","BsmtUnfSF","TotalBsmtSF","HeatingQC.Ex","HeatingQC.Gd","HeatingQC.TA","CentralAir.N","CentralAir.Y","Electrical.FuseA","Electrical.SBrkr","X2ndFlrSF","GrLivArea","BsmtFullBath.0","BsmtFullBath.1","FullBath","HalfBath","BedroomAbvGr","KitchenQual.Ex","KitchenQual.Gd","KitchenQual.TA","TotRmsAbvGrd","Functional.Typ","Fireplaces","FireplaceQu.Gd","FireplaceQu.NONE","FireplaceQu.TA","GarageType.Attchd","GarageType.BuiltIn","GarageType.Detchd","GarageType.NONE","GarageFinish.Fin","GarageFinish.NONE","GarageFinish.RFn","GarageFinish.Unf","GarageCars","GarageQual.NONE","GarageQual.TA","GarageCond.NONE","GarageCond.TA","PavedDrive.N","PavedDrive.Y","WoodDeckSF","MoSold","YrSold","SaleType.New","SaleType.WD","SaleCondition.Abnorml","SaleCondition.Normal","SaleCondition.Partial","SalePrice"
11,20,1,0,70,11200,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,5,5,1965,1965,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,906,1,134,1040,1,0,0,0,1,0,1,0,1040,0,1,1,0,3,0,0,1,5,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,2,2008,0,1,0,1,0,129500
12,60,1,0,85,11924,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,9,5,2005,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,286,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,998,1,177,1175,1,0,0,0,1,0,1,1142,2324,0,1,3,0,4,1,0,0,11,1,2,1,0,0,0,1,0,0,1,0,0,0,3,0,1,0,1,0,1,147,7,2006,1,0,0,0,1,345000
13,20,1,0,5239.83642221738,12968,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,5,6,1962,1962,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,737,1,175,912,0,0,1,0,1,0,1,0,912,0,1,1,0,2,0,0,1,4,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,140,9,2008,0,1,0,1,0,144000
14,20,1,0,91,10652,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,7,5,2006,2007,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,306,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1494,1494,1,0,0,0,1,0,1,0,1494,1,0,2,0,3,0,1,0,7,1,1,1,0,0,1,0,0,0,0,0,1,0,3,0,1,0,1,0,1,160,8,2007,1,0,0,0,1,279500
15,20,1,0,4501.11038708779,10920,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,6,5,1960,1960,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,212,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,733,1,520,1253,0,0,1,0,1,0,1,0,1253,0,1,1,1,2,0,0,1,5,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,5,2008,0,1,0,1,0,157000
16,45,0,1,51,6120,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,8,1929,2001,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,832,832,1,0,0,0,1,1,0,0,854,1,0,1,0,2,0,0,1,5,1,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,1,0,1,48,7,2007,0,1,0,1,0,132000
17,20,1,0,4608.07486410372,11241,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,6,7,1970,1970,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,180,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,578,1,426,1004,1,0,0,0,1,0,1,0,1004,0,1,1,0,2,0,0,1,5,1,1,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,0,3,2010,0,1,0,1,0,149000
18,90,1,0,72,10791,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,5,1967,1967,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1296,1,0,2,0,2,0,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,0,10,2006,0,1,0,1,0,90000
19,20,1,0,66,13695,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,2004,2004,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,646,1,468,1114,1,0,0,0,1,0,1,0,1114,0,1,1,1,3,0,1,0,6,1,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,1,0,1,0,6,2008,0,1,0,1,0,159000
20,20,1,0,70,7560,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,5,6,1958,1965,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,504,1,525,1029,0,0,1,0,1,0,1,0,1339,1,0,1,0,3,0,0,1,6,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,5,2009,0,0,1,0,0,139000
21,60,1,0,101,14215,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,8,5,2005,2006,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,380,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1158,1158,1,0,0,0,1,0,1,1218,2376,1,0,3,1,4,0,1,0,9,1,1,1,0,0,0,1,0,0,0,0,1,0,3,0,1,0,1,0,1,240,11,2006,1,0,0,0,1,325300
22,45,0,1,57,7449,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,7,1930,1950,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,637,637,1,0,0,0,1,0,0,0,1108,1,0,1,0,3,0,1,0,6,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,6,2007,0,1,0,1,0,139400
23,20,1,0,75,9742,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,8,5,2002,2002,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,281,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1777,1777,1,0,0,0,1,0,1,0,1795,1,0,2,0,3,0,1,0,7,1,1,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,171,9,2008,0,1,0,1,0,230000
24,120,0,1,44,4224,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,7,1976,1976,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,840,1,200,1040,0,0,1,0,1,0,1,0,1060,0,1,1,0,3,0,0,1,6,1,1,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,1,0,1,100,6,2007,0,1,0,1,0,129900
25,20,1,0,3418.16415831554,8246,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,5,8,1968,2001,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,188,0,204,1060,1,0,0,0,1,0,1,0,1060,0,1,1,0,3,0,1,0,6,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,406,5,2010,0,1,0,1,0,154000
26,20,1,0,110,14230,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,8,5,2007,2007,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,640,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1566,1566,1,0,0,0,1,0,1,0,1600,1,0,2,0,3,0,1,0,7,1,1,1,0,0,1,0,0,0,0,0,1,0,3,0,1,0,1,0,1,0,7,2009,0,1,0,1,0,256300
27,20,1,0,60,7200,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,5,7,1951,2000,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,234,0,180,900,0,0,1,0,1,0,1,0,900,1,0,1,0,3,0,1,0,5,1,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,1,0,1,222,5,2010,0,1,0,1,0,134800
28,20,1,0,98,11478,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,8,5,2007,2008,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,200,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1218,1,486,1704,1,0,0,0,1,0,1,0,1704,0,1,2,0,3,0,1,0,7,1,1,1,0,0,1,0,0,0,0,0,1,0,3,0,1,0,1,0,1,0,5,2010,0,1,0,1,0,306000
29,20,1,0,47,16321,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,5,6,1957,1997,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1277,1,207,1484,0,0,1,0,1,0,1,0,1600,0,1,1,0,2,0,0,1,6,1,2,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,288,12,2006,0,1,0,1,0,207500
30,30,0,1,60,6324,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,6,1927,1950,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,520,520,0,0,0,1,0,0,1,0,520,1,0,1,0,1,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,49,5,2008,0,1,0,1,0,68500
31,70,0,0,50,8500,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,4,1920,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,649,649,0,0,1,1,0,0,1,668,1317,1,0,1,0,3,0,0,1,6,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,7,2008,0,1,0,1,0,40000
32,20,1,0,3561.19685367247,8544,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,5,6,1966,2006,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1228,1228,0,1,0,0,1,0,1,0,1228,1,0,1,1,3,0,1,0,6,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,6,2008,0,1,0,1,0,149350
33,20,1,0,85,11049,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,8,5,2007,2007,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1234,1234,1,0,0,0,1,0,1,0,1234,1,0,2,0,3,0,1,0,7,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,1,2008,0,1,0,1,0,179900
34,20,1,0,70,10552,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,5,5,1959,1959,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1018,1,380,1398,0,1,0,0,1,0,1,0,1700,1,0,1,1,4,0,1,0,6,1,1,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,4,2010,0,1,0,1,0,165500
35,120,1,0,60,7313,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,9,5,2005,2005,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,246,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1153,1,408,1561,1,0,0,0,1,0,1,0,1561,0,1,2,0,2,1,0,0,6,1,1,1,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,203,8,2007,0,1,0,1,0,277500
36,60,1,0,108,13418,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,8,5,2004,2005,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,132,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1117,1117,1,0,0,0,1,0,1,1320,2452,1,0,3,1,4,0,1,0,9,1,1,1,0,0,0,1,0,0,1,0,0,0,3,0,1,0,1,0,1,113,9,2006,0,1,0,1,0,309000
37,20,1,0,112,10859,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,5,1994,1995,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1097,1097,1,0,0,0,1,0,1,0,1097,1,0,1,1,3,0,0,1,6,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,1,392,6,2009,0,1,0,1,0,145000
38,20,1,0,74,8532,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,5,6,1954,1990,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,650,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1213,1,84,1297,0,1,0,0,1,0,1,0,1297,1,0,1,0,3,0,0,1,5,1,1,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1,0,10,2009,0,1,0,1,0,153000
39,20,1,0,68,7922,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,5,7,1953,2007,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,731,1,326,1057,0,0,1,0,1,0,1,0,1057,0,1,1,0,3,0,1,0,5,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,2010,0,1,1,0,0,109000
40,90,1,0,65,6040,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,5,1955,1955,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1152,1,0,2,0,2,0,0,0,6,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,6,2008,0,1,0,0,0,82000
41,20,1,0,84,8658,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,6,5,1965,1965,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,101,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,643,1,445,1088,1,0,0,0,1,0,1,0,1324,1,0,2,0,3,0,0,1,6,1,1,0,0,1,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,12,2006,0,1,1,0,0,160000
42,20,1,0,115,16905,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,6,1959,1959,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,967,1,383,1350,0,1,0,0,1,0,1,0,1328,1,0,1,1,2,0,0,1,5,1,2,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,7,2007,0,1,0,1,0,170000
43,85,1,0,3793.69949002079,9180,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,7,1983,1983,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,747,0,0,840,0,1,0,0,1,0,1,0,884,0,1,1,0,2,0,1,0,5,1,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,240,12,2007,0,1,0,1,0,144000
44,20,1,0,3775.07980377012,9200,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,6,1975,1980,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,280,0,167,938,0,0,1,0,1,0,1,0,938,0,1,1,0,3,0,0,1,5,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,145,7,2008,0,1,0,1,0,130250
45,20,1,0,70,7945,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,5,6,1959,1959,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,179,0,465,1150,1,0,0,0,1,1,0,0,1150,0,1,1,0,3,0,0,1,6,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,5,2006,0,1,0,1,0,141000
46,120,1,0,61,7658,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,9,5,2005,2005,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,412,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,456,1,1296,1752,1,0,0,0,1,0,1,0,1752,0,1,2,0,2,1,0,0,6,1,1,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,196,2,2010,0,1,0,1,0,319900
